Subject,Course Number,Course Name,Class,Section1,Section2,Days,StartTime,EndTime,Room,Instructor,Meeting Dates
CS,40,Introduction to Computers,42793,01-SEM,Regular,TuTh,12:00 PM,1:15 PM,MacQuarrie Hall 225,Kathleen O'Brien,08/20/2015 - 12/08/2015
CS,46A,Introduction to Java Programming,27351,01-LEC,Regular,TuTh,1:30 PM,2:45 PM,Yoshihiro Uchida Hall 124,Kathleen O'Brien,01/28/2016 - 05/16/2016
CS,46A,Introduction to Java Programming,27360,11-LAB,Regular,Fr,8:00 AM,10:45 AM,MacQuarrie Hall 422,Kathleen O'Brien,01/28/2016 - 05/16/2016
CS,46A,Introduction to Java Programming,27361,12-LAB,Regular,Fr,11:00 AM,1:45 PM,MacQuarrie Hall 422,Kathleen O'Brien,01/28/2016 - 05/16/2016
CS,46A,Introduction to Java Programming,27362,13-LAB,Regular,Fr,2:00 PM,4:45 PM,MacQuarrie Hall 422,Kathleen O'Brien,01/28/2016 - 05/16/2016
CS,46A,Introduction to Java Programming,27363,14-LAB,Regular,Th,5:00 PM,7:45 PM,MacQuarrie Hall 225,Kathleen O'Brien,01/28/2016 - 05/16/2016
CS,46A,Introduction to Java Programming,27364,15-LAB,Regular,Fr,8:00 AM,10:45 AM,Science Building 311,Kathleen O'Brien,01/28/2016 - 05/16/2016
CS,46A,Introduction to Java Programming,27365,16-LAB,Regular,Fr,11:00 AM,1:45 PM,Science Building 311,Kathleen O'Brien,01/28/2016 - 05/16/2016
CS,46B,Introduction to Data Structures,27369,01-LEC,Regular,MoWe,3:00 PM,4:15 PM,Washington Square Hall 109,Staff,01/28/2016 - 05/16/2016
CS,46B,Introduction to Data Structures,27392,11-LAB,Regular,Fr,8:00 AM,10:45 AM,MacQuarrie Hall 225,Staff,01/28/2016 - 05/16/2016
CS,46B,Introduction to Data Structures,27393,12-LAB,Regular,Fr,11:00 AM,1:45 PM,MacQuarrie Hall 225,Staff,01/28/2016 - 05/16/2016
CS,46B,Introduction to Data Structures,27394,13-LAB,Regular,Fr,2:00 PM,4:45 PM,MacQuarrie Hall 225,Staff,01/28/2016 - 05/16/2016
CS,46B,Introduction to Data Structures,27395,14-LAB,Regular,Tu,5:00 PM,7:45 PM,MacQuarrie Hall 225,Staff,01/28/2016 - 05/16/2016
CS,46B,Introduction to Data Structures,27396,15-LAB,Regular,Fr,8:00 AM,10:45 AM,Duncan Hall 450,Staff,01/28/2016 - 05/16/2016
CS,46B,Introduction to Data Structures,27397,16-LAB,Regular,Fr,11:00 AM,1:45 PM,Duncan Hall 450,Staff,01/28/2016 - 05/16/2016
CS,47,Introduction to Computer Systems,23843,01-SEM,Regular,TuTh,6:00 PM,7:15 PM,Duncan Hall 351,Kaushik Patra,01/28/2016 - 05/16/2016
CS,47,Introduction to Computer Systems,23844,02-SEM,Regular,TuTh,7:30 PM,8:45 PM,MacQuarrie Hall 233,Kaushik Patra,01/28/2016 - 05/16/2016
CS,49C,Programming in C,22877,01-SEM,Regular,TuTh,6:00 PM,7:15 PM,Science Building 311,Ronald Gutman,01/28/2016 - 05/16/2016
CS,49C,Programming in C,24964,02-SEM,Regular,TuTh,7:30 PM,8:45 PM,Science Building 311,Ronald Gutman,01/28/2016 - 05/16/2016
